round,train_auc,val_auc
0,0.9055007219613573,0.8961120717910465
1,0.9274471678278523,0.9267679336339696
2,0.9354430978607059,0.9322279863018343
3,0.9359258868301781,0.9338091524542547
4,0.9381409155202507,0.9369206252331062
5,0.9401447624882928,0.9393664033273432
6,0.9425649751716106,0.9403056092406108
7,0.9448864059253401,0.9411397054668339
8,0.9454450589606279,0.9417082019462245
9,0.9462900144368798,0.9422631358853514
10,0.9470409121935124,0.9436634681675878
11,0.9477379748866624,0.9443958453418325
12,0.9485583728480346,0.9451824726771324
13,0.9488772042551772,0.945709151324043
14,0.9501122034577958,0.9473389165790752
15,0.9507012640268971,0.9472055515998147
16,0.9515153816613765,0.9472123328699465
17,0.951970846804594,0.9473841250466213
18,0.9527311179232553,0.9484521750923948
19,0.9529764435018024,0.9486194464223149
20,0.9532520870235802,0.9489709422574848
21,0.9536827768051558,0.9486454412911538
22,0.9537985217866003,0.9494761468823111
23,0.9545040889123267,0.9499519660032324
24,0.9548695059699168,0.9500728986539179
25,0.95495019253255,0.9503938787734942
26,0.9549553602999095,0.950391618350117
27,0.9553991577834952,0.9503486703059483
28,0.9560571715778903,0.950410831948824
29,0.9563005769042343,0.95049785824885
30,0.9570519493527841,0.9505340250228868
31,0.9573872279130374,0.9508278800619356
32,0.9574978071149971,0.9507758903242577
33,0.957856406350153,0.9508131873099832
34,0.9581038124727358,0.9510064535087421
35,0.9584015544641099,0.9511477299698233
36,0.9587242432479336,0.9510866985386363
37,0.9590008033341927,0.9512664021971315
38,0.9594687603886245,0.9515568666011144
39,0.9598533900685738,0.9514020275997694
40,0.9603117322459652,0.9518529820635405
41,0.9604918819523169,0.9519637428090282
42,0.9609478711313902,0.9523299313961505
43,0.9612711160113799,0.9522304727675494
44,0.9614907951837995,0.9524655567987884
45,0.9617168633544414,0.952470077645543
46,0.9620209540091146,0.9528453079261746
47,0.9623754085730357,0.952885995546966
48,0.9629191284446887,0.9529673707885487
49,0.9632762272772121,0.953060048147018
50,0.9635089732535768,0.9530758711106591
51,0.9636399622194161,0.9533154759886526
52,0.9637783608167952,0.9535030911289685
