round,train_auc,val_auc
0,0.9018452083999762,0.8981555475355744
1,0.9309283758436834,0.9233411528150134
2,0.9397397221590392,0.9281144737746615
3,0.9478150074760336,0.9348748882931188
4,0.948321758600063,0.9368297587131368
5,0.9499627795240463,0.9377019316697601
6,0.9516576863696106,0.9393582010036433
7,0.953324682748001,0.9384237299786897
8,0.9540173232714328,0.9396632467175363
9,0.9547665384123529,0.9401100742421118
10,0.9548317055909976,0.9408103904585138
11,0.9545424095428633,0.9409242455489104
12,0.9555347609204465,0.9413581838179693
13,0.9561145972602757,0.9419639788272496
14,0.9572076733532789,0.9425740702550354
15,0.958004671276962,0.9435020966522307
16,0.9584607146834366,0.9436417302536605
17,0.9590854458875995,0.9444838282807452
18,0.9598314300627317,0.9449693235718705
19,0.9600351858710514,0.9453839279576545
20,0.9599698768385823,0.946144394033134
21,0.9603484801685425,0.9455643775348869
22,0.9606330183850024,0.9457362342751082
23,0.9610386856841292,0.9464773664673128
24,0.9614812391811862,0.9466814463463257
25,0.961769450788621,0.9470337526637794
26,0.9622152091047704,0.9476631779748401
27,0.9624749360836106,0.948180896404757
28,0.9629075018057472,0.948172303567746
29,0.9628741828253446,0.948301196122912
30,0.9634403397500548,0.9485912043720355
31,0.9637402598452876,0.9483677906097477
32,0.9638886723399209,0.948337715680209
33,0.9642357588146866,0.9490079569670723
34,0.9644886437652116,0.949222777892349
35,0.9647414739845155,0.9493301883549873
36,0.9649416181958911,0.9492270743108545
37,0.9651558352431711,0.9499059084347288
38,0.9654700884568401,0.9499187976902455
39,0.9658650247008058,0.9500648759194336
40,0.9661475334518379,0.9502152505671272
41,0.9663797768940142,0.9508511205059462
42,0.9667758247941621,0.9511776483123668
43,0.9670745796038045,0.9508382312504297
44,0.9674653610787723,0.9515342510483261
45,0.9674960211171976,0.951461211933732
46,0.9675443239305923,0.9514311370041934
47,0.9678271819902029,0.9513452086340827
48,0.9680671033066747,0.9517963325771637
49,0.9682588868050133,0.9518135182511858
50,0.9685671507330724,0.952281827868289
51,0.9688124838682386,0.9522775314497834
52,0.9690367899717123,0.9526491716505121
53,0.9691099464987276,0.9526105038839623
54,0.9691798802246079,0.9529520691551523
55,0.9693689541403151,0.95317548291744
56,0.9696016253146225,0.9531325187323847
57,0.9699102478177322,0.9532485220320341
58,0.9700857735531465,0.9532614112875507
59,0.9703037421477665,0.9531325187323847
60,0.9704795521252496,0.9529950333402076
61,0.9706320246360293,0.9533086718911116
62,0.9709621465495792,0.9533108201003644
63,0.9711995230114835,0.9533451914484086
64,0.971589459240388,0.9535600123736853
65,0.9716982668381198,0.953590087303224
66,0.9719475420951477,0.9536244586512683
67,0.9721968208918461,0.9536974977658623
68,0.9723418959635259,0.9538736509245893
69,0.9726115164988123,0.9539595792947
70,0.9728044293516744,0.954290403519626
71,0.9730591324895033,0.9543591462157146
72,0.9733492597586437,0.9545524850484636
73,0.9734923764254286,0.9547758988107513
74,0.9737209491981729,0.9549477555509727
75,0.9738021582366206,0.9548489379253454
76,0.973935084565948,0.9550594624321166
77,0.9740242981967457,0.9551539836392383
78,0.9741360820544378,0.9552871726129099
79,0.9743216366717228,0.9553129511239431
80,0.9744073451627644,0.9553172475424486
81,0.9746559634440148,0.9554934007011755
82,0.9748066071485034,0.9557984464150684
83,0.9749442123515386,0.9558542998556403
84,0.9751227901825248,0.9559101532962123
85,0.9752245486980126,0.9561120849659723
86,0.9754685147866438,0.9561679384065443
87,0.9756176278183579,0.9562237918471163
88,0.975787322184109,0.956326905891249
89,0.9759764687965689,0.9563440915652712
90,0.9760796921002024,0.9563999450058431
91,0.9761982942938636,0.9564686877019317
92,0.9763776039680181,0.9565846910015811
93,0.9764297723996546,0.9566534336976696
94,0.9766080218763606,0.956696397882725
95,0.976755048540811,0.9569885543411013
96,0.9768797056374827,0.957211968103389
97,0.9769406793945082,0.9572420430329277
98,0.9771089549877638,0.9573623427510827
99,0.9772649966194891,0.9574439747026878
100,0.977393565350056,0.9574396782841823
101,0.977600523539619,0.9576287206984258
102,0.9777029496498839,0.9576158314429092
103,0.9778477246846038,0.9578822093902523
104,0.9779894563393206,0.9578865058087578
105,0.9781081064520718,0.9579466556678353
106,0.9782348926592009,0.9582173300336839
107,0.9784358509441701,0.9583075548223001
108,0.9786090539893436,0.9583805939368942
109,0.9787720081589723,0.9584622258884994
110,0.9788886731857254,0.9584493366329827
111,0.9790564020672459,0.9583677046813776
112,0.9791304410068095,0.9583591118443665
113,0.9792931128378103,0.958483707981027
114,0.9794158842263349,0.9584665223070049
115,0.9795817344790403,0.9585180793290713
116,0.9797090603185759,0.9585395614215989
117,0.9798502202166975,0.9586297862102152
118,0.979930599937575,0.9586340826287207
119,0.9801244129013171,0.9586083041176875
120,0.9801803527492526,0.9586340826287207
121,0.9802199547909994,0.9587028253248092
122,0.9803032270552858,0.9587887536949199
123,0.9804290704083432,0.9588145322059531
124,0.980522055455438,0.9590336495497354
125,0.9806734394514429,0.959055131642263
126,0.9808016052275442,0.9591238743383516
127,0.9809329298235894,0.9592871382415619
128,0.9810347076736431,0.9593558809376503
129,0.9811581910363631,0.9594375128892555
130,0.981249520987985,0.9594031415412112
131,0.9814198990106071,0.9595492197703994
132,0.9815581522066563,0.9597253729291263
133,0.9816619970894167,0.9596222588849934
134,0.9817537302627107,0.9595664054444215
135,0.9818658993765436,0.9595320340963772
136,0.9819826850191364,0.9596093696294768
137,0.9821016547706072,0.9596308517220046
138,0.9822016163367976,0.9595492197703994
139,0.9823092326358552,0.9596523338145322
140,0.9824240473511228,0.9597941156252148
141,0.9825563485616647,0.959948786691414
142,0.9826659251690519,0.9598886368323366
