round,train_auc,val_auc
0,0.8947552814874176,0.8726236644242185
1,0.9228583067563472,0.9062221342830761
2,0.9316322700480306,0.9112056456931803
3,0.9356532058479144,0.9162089434111594
4,0.9395458361184857,0.9199815327793167
5,0.942043274544884,0.9214800158290463
6,0.9446526702608509,0.9217306423954623
7,0.9466458911781177,0.9233874159081915
8,0.9481572055755788,0.9236340852130326
9,0.948293738272226,0.9250336367233875
10,0.9495916349957375,0.9258422371718771
11,0.9501643314441887,0.9257670492019523
12,0.9510916734193067,0.9257960691201689
13,0.9516943161912004,0.9256166732621026
14,0.9524050093216513,0.9261904761904762
15,0.9531284602507789,0.9269542276744492
16,0.9532607072417394,0.9268473816119246
17,0.9533826806231,0.927174515235457
18,0.953751086184452,0.9278578024007387
19,0.9540780225082236,0.9285120696478038
20,0.9544731336997908,0.9288774567998944
21,0.9548026951852872,0.9290080464318692
22,0.9549394345080062,0.9285621949610869
23,0.9552569309213568,0.9289275821131777
24,0.955488824262619,0.9285437277404036
25,0.9557280571764625,0.9283498219232291
26,0.9563316933835944,0.9290885107505606
27,0.9564255756682754,0.9295106186518929
28,0.9566256743756489,0.9299643846458251
29,0.956913670148086,0.9302677746999076
30,0.9573209610624729,0.930795409576573
31,0.957663687759202,0.931206964780372
32,0.9577104703423993,0.9312452183089303
33,0.958028504381582,0.9312636855296135
34,0.9582313723915167,0.9315723519324627
35,0.958202038592886,0.9315301411423295
36,0.9583206569399049,0.9317583432264873
37,0.9584623878919651,0.9321461548608363
38,0.958747218438528,0.9325102229257354
39,0.9587800980237093,0.9324812030075188
40,0.9591050025851848,0.9328769291650179
41,0.9592420806866048,0.9331275557314338
42,0.9595018363011957,0.933609022556391
43,0.959748890938223,0.9337857802400739
44,0.9598193062695752,0.9339110935232819
45,0.9600647130608375,0.9341960163566811
46,0.9604054906277485,0.9344756628413138
47,0.9607109646293986,0.9347500329771798
48,0.9610163142947167,0.9349347051840127
49,0.9611642489570668,0.9352037989711119
50,0.9613303501526314,0.9352723915050785
51,0.961558454880069,0.9353673657828783
52,0.9618137001882073,0.9353423031262367
53,0.9619066805280595,0.9356404168315525
54,0.9621837887816709,0.9358448753462604
55,0.9624028442134828,0.9360691201688431
56,0.962531139873578,0.9363725102229258
57,0.9628217461370044,0.9368539770478829
58,0.963064818679387,0.937025458382799
59,0.963260482431654,0.9371388998812822
60,0.963541422399638,0.9372523413797652
61,0.9638043697369618,0.9373341247856484
62,0.9638985363720795,0.937437013586598
63,0.9640015329849988,0.9375873895264477
64,0.9641836120478082,0.9378591214879304
65,0.9643662672080643,0.9380068592533967
66,0.9644973600251613,0.9381084289671547
67,0.9646179856871302,0.9381084289671547
68,0.9648082002938851,0.9382799103020709
69,0.9649254763402579,0.9383036538715209
70,0.9650933220185315,0.9383432264872708
71,0.9652277214672677,0.9383273974409708
72,0.965385713110949,0.9385912148793035
73,0.9655508347469279,0.9386809128083367
74,0.9657593779056103,0.9386967418546366
75,0.96585781472285,0.938902519456536
76,0.9659873976083069,0.9391900804643187
77,0.966217431415127,0.9394143252869015
78,0.9664281182902379,0.939612188365651
79,0.9666091517908922,0.9398496240601504
80,0.9667715638804162,0.9398496240601504
81,0.966925260836914,0.9397968605724838
82,0.9671902154116528,0.939988128215275
83,0.9673395698990649,0.9402097348634745
84,0.967589132920109,0.9401859912940246
85,0.9678013613311878,0.9404128742909906
86,0.9679179507675173,0.9405579738820736
87,0.9681205351643719,0.9405764411027568
88,0.9683453637394948,0.9405157630919404
89,0.968490387564129,0.9405843556259069
90,0.9687195260211986,0.9407030734731566
91,0.9688873882518559,0.9408138767972563
92,0.9690446908157073,0.9409141274238227
93,0.9692202394931072,0.9408666402849228
94,0.9693672775512852,0.9408217913204063
95,0.9695630857352274,0.9410038253528559
96,0.969639694573583,0.941222793826672
97,0.9698114561632308,0.9412940245350218
98,0.9700246573581291,0.9410856087587389
99,0.9702053945598088,0.9413335971507717
100,0.9703942614349179,0.9414707822187046
101,0.9705032909071497,0.9416449017280042
102,0.9706431152674148,0.9417451523545707
103,0.9707973506389895,0.9418111067141538
104,0.970956150383859,0.9420168843160532
105,0.9711320287494516,0.9422516818361694
106,0.9712749537040267,0.9425471573671019
107,0.9713953376637494,0.9425788154597019
108,0.9715146636342065,0.9426500461680517
109,0.9717257280697414,0.9427450204458515
110,0.9718944967068208,0.9429402453502177
111,0.971965541827081,0.9430088378841841
112,0.9721272546468791,0.9431460229521171
113,0.9723640458642029,0.9433175042870334
114,0.9725378885042895,0.9434124785648331
115,0.9727185327932514,0.9433860968209998
116,0.9729061609098398,0.9433992876929165
117,0.9730904677823309,0.9437396121883657
118,0.9732501707136256,0.9438240337686321
119,0.9733901441350574,0.9439585806621817
120,0.9735357268583075,0.9440377258936816
121,0.9736836686846495,0.9441669964384646
122,0.973800535035792,0.9441854636591479
123,0.9739579058132014,0.9442725234137976
124,0.9740864844399038,0.9444202611792639
125,0.9742508206563827,0.9443437541221474
126,0.9744073348523734,0.9443938794354306
127,0.974577939346004,0.9445046827595304
128,0.9747525970443451,0.9445600844215802
129,0.974911622340128,0.94463131512993
130,0.9749804360815406,0.9447605856747131
131,0.9751540127597418,0.9449690014509959
132,0.9752625800349934,0.9451826935760453
133,0.9753894550294647,0.9452539242843953
134,0.9755147139509589,0.9454122147473948
135,0.9756216088882185,0.9455230180714945
136,0.975741185664839,0.9456575649650442
137,0.9758906005163186,0.9456654794881941
138,0.9759915947538915,0.9457551774172273
139,0.9761721287243783,0.945744624719694
140,0.9762933108798668,0.9458053027305104
141,0.976439632288206,0.9457894736842105
142,0.9765719367980422,0.9459161060546102
143,0.9766926188672617,0.9458950006595436
144,0.9768089542646026,0.9460269093787099
145,0.9769059333418366,0.946116607307743
146,0.977031504843044,0.9463118322121092
147,0.9771968314041506,0.9463672338741591
148,0.9773391368244096,0.9464833135470254
149,0.9774664112595173,0.9465782878248252
150,0.9776082975705097,0.9466679857538584
151,0.9777146903008556,0.9468209998680913
152,0.9778744005255524,0.9467998944730247
153,0.9779859749134703,0.9468895924020577
154,0.9781031829013398,0.9469265268434244
155,0.9782081552376996,0.9469608231104076
156,0.9782983750682555,0.9469740139823243
157,0.978448048174351,0.9470452446906741
158,0.9785242405673531,0.9470900936551906
159,0.9786294760722827,0.9471718770610738
160,0.9787737769236545,0.9471639625379238
161,0.9788832936930457,0.9471613243635404
162,0.9790326856687162,0.9472958712570901
163,0.9791464839870281,0.9473407202216066
164,0.9792817657247916,0.9473644637910565
165,0.9793948240907687,0.9473486347447566
166,0.9795044448680308,0.9474554808072814
167,0.9796153595822921,0.9475464978235061
168,0.9797396125767477,0.9477100646352724
169,0.9798548829502312,0.947707426460889
170,0.9800134811450276,0.9477575517741723
171,0.980123359194113,0.9478287824825221
172,0.9802211231347364,0.9478894604933387
173,0.9803175312354047,0.948037198258805
174,0.9804510126264611,0.9481031526183881
175,0.9805735144137223,0.9481928505474212
176,0.9806692561034369,0.948295739348371
177,0.9807635827398049,0.9483537791848041
178,0.9808537483874987,0.9484408389394539
179,0.9809762980341875,0.9484355625906873
180,0.9811011843220212,0.9483986281493206
181,0.9812381034440303,0.9483880754517874
182,0.9813627796211379,0.948530536868487
183,0.9814599970255474,0.9485727476586202
184,0.9815825779664652,0.9485938530536868
185,0.9816961646351637,0.9485833003561536
186,0.9818239363503999,0.9485701094842369
187,0.9819610613803395,0.9486466165413534
188,0.9820732999291776,0.9486466165413534
189,0.9822012833068509,0.9487732489117531
190,0.9822963374037436,0.9488049070043529
191,0.9823931122669903,0.948812821527503
192,0.9824875806582934,0.9488787758870861
193,0.9825977485406933,0.9487864397836697
194,0.9827075899549143,0.9488418414457196
195,0.9828188402669286,0.9489130721540694
196,0.9829557261291315,0.9490502572220024
197,0.9830390888735162,0.9490370663500858
198,0.98314344505062,0.9489473684210527
199,0.9832418195382172,0.9490159609550192
200,0.9833772645100683,0.9490898298377523
201,0.9834735993538214,0.9491768895924021
202,0.9835629558528334,0.9492164622081519
203,0.9836569337013122,0.9492138240337686
204,0.9837638679245178,0.9491900804643187
205,0.9838484890960547,0.9492375676032185
