fpr,tpr,threshold
0.0,0.0,inf
0.0,0.012345679012345678,0.9642857142857143
0.0,0.037037037037037035,0.9514337101747173
0.0,0.06172839506172839,0.9471428571428572
0.0,0.3333333333333333,0.6617825184301872
0.008403361344537815,0.3333333333333333,0.6531552660783365
0.008403361344537815,0.35802469135802467,0.6419062017940617
0.01680672268907563,0.35802469135802467,0.6402141884548278
0.01680672268907563,0.38271604938271603,0.6285714285714286
0.025210084033613446,0.38271604938271603,0.6273088373928208
0.025210084033613446,0.4691358024691358,0.5889433294514578
0.03361344537815126,0.4691358024691358,0.5674482510768568
0.03361344537815126,0.48148148148148145,0.5657563457904702
0.058823529411764705,0.48148148148148145,0.5586124972472947
0.058823529411764705,0.49382716049382713,0.5528764577681647
0.06722689075630252,0.49382716049382713,0.5494290967428433
0.06722689075630252,0.5061728395061729,0.5347360687566032
0.07563025210084033,0.5061728395061729,0.5330931782316585
0.07563025210084033,0.5679012345679012,0.5074083117999328
0.08403361344537816,0.5679012345679012,0.5043180898915459
0.08403361344537816,0.5802469135802469,0.4990172231959135
0.09243697478991597,0.5802469135802469,0.49443252112156405
0.09243697478991597,0.6172839506172839,0.48720503578771285
0.10084033613445378,0.6172839506172839,0.4834727365273729
0.10084033613445378,0.654320987654321,0.46546630811494
0.12605042016806722,0.654320987654321,0.45197803875829345
0.12605042016806722,0.6666666666666666,0.4503367948475456
0.21008403361344538,0.6666666666666666,0.42963434465466466
0.21008403361344538,0.691358024691358,0.41769187371683547
0.2184873949579832,0.691358024691358,0.41737609113655555
0.2184873949579832,0.7160493827160493,0.4100657664222457
0.24369747899159663,0.7160493827160493,0.40448730486458323
0.24369747899159663,0.7407407407407407,0.4004374081829609
0.2605042016806723,0.7407407407407407,0.3975413950525272
0.2605042016806723,0.7777777777777778,0.3918266350956306
0.2689075630252101,0.7777777777777778,0.39027105292290115
0.2689075630252101,0.7901234567901234,0.39007110006048346
0.2773109243697479,0.7901234567901234,0.3893983395721526
0.2773109243697479,0.8024691358024691,0.38771779091331116
0.3025210084033613,0.8024691358024691,0.37172402157941714
0.3025210084033613,0.8148148148148148,0.37052312145821614
0.31092436974789917,0.8148148148148148,0.36607205451747
0.31092436974789917,0.8271604938271605,0.3657991219887184
0.36134453781512604,0.8271604938271605,0.3314350282409027
0.36134453781512604,0.8395061728395061,0.3222696828747699
0.3949579831932773,0.8395061728395061,0.3097247554436152
0.3949579831932773,0.8641975308641975,0.29813497774209924
0.44537815126050423,0.8641975308641975,0.2751881218851007
0.44537815126050423,0.8765432098765432,0.266719256595359
0.453781512605042,0.8765432098765432,0.264444589287168
0.453781512605042,0.8888888888888888,0.26341500671932244
0.4789915966386555,0.8888888888888888,0.2561759719168039
0.4789915966386555,0.9012345679012346,0.23826246054246394
0.5882352941176471,0.9012345679012346,0.204864189269148
0.5882352941176471,0.9135802469135802,0.1939402242514653
0.5966386554621849,0.9135802469135802,0.1862652238558018
0.5966386554621849,0.9382716049382716,0.18545077881172242
0.6722689075630253,0.9382716049382716,0.15701326458017947
0.6722689075630253,0.9506172839506173,0.1496242640840483
0.7142857142857143,0.9506172839506173,0.13026814622330812
0.7142857142857143,0.9629629629629629,0.12148195656898281
0.7310924369747899,0.9629629629629629,0.11731064210024453
0.7310924369747899,0.9753086419753086,0.11143005405417879
0.7983193277310925,0.9753086419753086,0.09732199504421037
0.7983193277310925,0.9876543209876543,0.09006712176710525
0.8403361344537815,0.9876543209876543,0.07203316516814245
0.8403361344537815,1.0,0.0719792047323761
1.0,1.0,0.0061558591099126125
